rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,theodolite_id,estimated_time_offset,secs,nsecs
1645113920576580516,,3,,1645113920,574317932,"""theodolite_n_1""",1,,-27829159,214855332
1645113926462759196,,4,,1645113926,459841532,"""theodolite_n_2""",2,,-28571813,960130054
1645113932617966722,,5,,1645113932,614790774,"""theodolite_n_3""",3,,-28571145,515685218
1645114233452125328,,6,,1645114233,450303413,"""theodolite_n_1""",1,,-27829159,215272872
1645114239207447967,,7,,1645114239,204112071,"""theodolite_n_2""",2,,-28571813,960367710
1645114245083991880,,8,,1645114245,81977480,"""theodolite_n_3""",3,,-28571145,515762271
1645114546078956805,,9,,1645114546,77149529,"""theodolite_n_1""",1,,-27829159,215855859
1645114551858000885,,10,,1645114551,855977015,"""theodolite_n_2""",2,,-28571813,960711716
1645114557631842060,,11,,1645114557,630005848,"""theodolite_n_3""",3,,-28571145,515880060
1645114858380541875,,12,,1645114858,371250068,"""theodolite_n_1""",1,,-27829159,216613950
1645114864156404643,,13,,1645114864,148683774,"""theodolite_n_2""",2,,-28571813,961161628
1645114869966384505,,14,,1645114869,963572439,"""theodolite_n_3""",3,,-28571145,516028637
1645115170810438411,,15,,1645115170,807444128,"""theodolite_n_1""",1,,-27829159,217528256
1645115176639591303,,16,,1645115176,634881008,"""theodolite_n_2""",2,,-28571813,961709637
1645115182399689200,,17,,1645115182,396031118,"""theodolite_n_3""",3,,-28571145,516247523
1645115483694816313,,18,,1645115483,692856142,"""theodolite_n_1""",1,,-27829159,218572137
1645115489508070878,,19,,1645115489,505087171,"""theodolite_n_2""",2,,-28571813,962356097
1645115796938457234,,20,,1645115796,913147239,"""theodolite_n_1""",1,,-27829159,219777633
1645115802708193382,,21,,1645115802,679330147,"""theodolite_n_2""",2,,-28571813,963090133
1645115808474876956,,22,,1645115808,469713706,"""theodolite_n_3""",3,,-28571145,516572213
1645116109293476916,,23,,1645116109,291677229,"""theodolite_n_1""",1,,-27829159,221086585
1645116115091352090,,24,,1645116115,89434049,"""theodolite_n_2""",2,,-28571813,963891310
1645116120890721710,,25,,1645116120,888064351,"""theodolite_n_3""",3,,-28571145,516923518
1645116421886581509,,26,,1645116421,878171433,"""theodolite_n_1""",1,,-27829159,222500242
1645116427551576090,,27,,1645116427,548987811,"""theodolite_n_2""",2,,-28571813,964740748
1645116433339187535,,28,,1645116433,335739140,"""theodolite_n_3""",3,,-28571145,517290614
1645116734160246233,,29,,1645116734,157552945,"""theodolite_n_1""",1,,-27829159,224006894
1645116740000490390,,30,,1645116739,996678469,"""theodolite_n_2""",2,,-28571813,965641631
1645116745879327959,,31,,1645116745,874507223,"""theodolite_n_3""",3,,-28571145,517684045
